Historical_Disaster_ID,CNN_Cosine_Similarity
FL_2003_000350_MNG,0.6434107
FL_2001_000180_IRN,0.6330991
FL_2010_000012_EGY,0.6201957
FL_2015_000153_IRQ,0.59656477
FL_2019_000022_IRN,0.58353734
FL_2011_000159_MEX,0.5764125
FL_2012_000066_COM,0.5650338
FL_2006_000068_CHN,0.56227165
FL_2012_000077_CHN,0.558363
FL_2003_000229_LKA,0.54901934
FL_2005_000110_BIH,0.5481162
FL_2004_000043_IND,0.54229105
FL_2008_000089_IND,0.54219055
FL_1998_000359_UKR,0.53680336
FL_2012_000110_IND,0.535987
FL_2007_000070_CHN,0.5304087
FL_2007_000077_CHN,0.53040564
FL_2002_000478_PRK,0.5229473
FL_2011_000095_PHL,0.5173528
FL_2011_000084_IND,0.51550746
FL_2006_000156_TUR,0.5110026
FL_2007_000052_LKA,0.51092684
FL_2007_000217_SRB,0.5109223
FL_2021_000152_GEO,0.507674
FL_2011_000119_PHL,0.507105
FL_2005_000051_AGO,0.5050496
FL_2008_000035_PRY,0.50420713
FL_2012_000127_CHN,0.5020653
FL_2005_000098_BGR,0.5010533
FL_2013_000070_IND,0.5009171
FL_2002_000479_CZE,0.5007045
FL_2002_000607_ALB,0.49946517
FL_2007_000197_COD,0.49895644
FL_2022_000278_MNG,0.49812198
FL_2009_000140_MNG,0.49714413
FL_1997_000166_ROM,0.49637273
FL_2013_000002_PSE,0.49593663
FL_2012_000037_PSE,0.49557495
FL_2011_000110_UGA,0.4953329
FL_2011_000005_HND,0.49450845
FL_2005_000002_GUY,0.4940092
FL_1998_000085_IRN,0.49363616
FL_2008_000202_MAR,0.4935938
FL_2010_000046_MOZ,0.49325424
FL_2010_000196_LKA,0.49075466
FL_2008_000054_THA,0.49074683
FL_2018_000413_IND,0.4902641
FL_2018_000118_LAO,0.49012986
FL_2011_000190_AGO,0.48992288
FL_1998_000219_KOR,0.4895597
FL_2003_000316_IND,0.48955318
FL_2014_000059_SRB,0.489109
FL_2022_000283_LKA,0.487911
FL_2009_000034_MAR,0.48742977
FL_2014_000015_ZWE,0.48651564
FL_1999_000235_IRN,0.48601964
FL_2006_000158_PRK,0.48475203
FL_2006_000018_IRQ,0.48417753
FL_2002_000374_IND,0.48374012
FL_2012_000153_IDN,0.48361677
FL_2005_000208_BIH,0.48325658
FL_2012_000125_PHL,0.48157704
FL_2009_000031_DOM,0.48146477
FL_2022_000312_BGR,0.48126823
FL_2009_000242_IRQ,0.48126146
FL_2002_000734_MAR,0.48106867
FL_2021_000066_GUY,0.4797818
FL_2009_000245_SRB,0.47955158
FL_2005_000065_GEO,0.47856605
FL_2020_000158_SRB,0.4782421
FL_2006_000047_COD,0.4765868
FL_2021_000173_IDN,0.47536778
FL_2011_000091_BEN,0.4742033
FL_2004_000052_JPN,0.4732796
FL_2017_000057_LKA,0.4731945
FL_2015_000064_IND,0.47214213
FL_2013_000028_NAM,0.47150755
FL_2008_000079_LKA,0.4696092
FL_2004_000094_CHN,0.46833187
FL_2010_000072_RUS,0.4681688
FL_1997_000144_CHN,0.46809655
FL_2009_000203_USA,0.46772897
FL_2006_000029_NAM,0.46735215
FL_2016_000114_EGY,0.46719432
FL_2004_000031_CHN,0.46698153
FL_1998_000392_IND,0.46693814
FL_2008_000230_CUB,0.46636185
FL_2015_000093_GUY,0.46553755
FL_2008_000051_LKA,0.464281
FL_2010_000120_BRA,0.4640512
FL_1999_000213_IND,0.46400324
FL_2008_000031_PER,0.46321914
FL_2000_000002_AGO,0.46307686
FL_2009_000007_ZWE,0.4630406
FL_2011_000157_SLV,0.46179956
FL_2003_000571_DOM,0.46172428
FL_2019_000034_BOL,0.46124724
FL_2018_000034_BLR,0.46106023
FL_2019_000131_CIV,0.4606115
FL_2012_000068_DOM,0.45985693
FL_2017_000014_PER,0.45970494
FL_2009_000100_DOM,0.4596611
FL_2010_000245_MAR,0.4596589
FL_2010_000049_AGO,0.4596567
FL_2009_000266_ALB,0.45950997
FL_2017_000075_CHN,0.45950654
FL_2009_000268_AGO,0.45918584
FL_2017_000052_RUS,0.4585464
FL_2019_000067_UGA,0.45844835
FL_2001_000407_IDN,0.45826504
FL_2005_000064_ETH,0.45825773
FL_2005_000072_TJK,0.45687804
