Historical_Disaster_ID,Graph_Cosine_Similarity,Domain_Rank
FL_2008_000035_PRY,0.11059614497971297,949.0
FL_2023_000217_PRY,0.17178978689425875,243.0
Paraguay: Floods _ Jun 1995,0.06346176160999134,1362.0
FL_2018_000419_PRY,0.1558962748667358,397.0
FL_2012_000056_PRY,0.1491644942712915,469.0
FL_2014_000030_PRY,0.10586443246492913,1005.0
FL_1997_000299_PRY,0.13878133282626343,590.0
FL_2019_000033_PRY,0.1498709042405073,457.0
Paraguay: Floods _ Mar 1995,0.12683515901648984,737.0
FL_2013_000076_PRY,0.20933167325710472,58.0
subject,0.08365909669289393,1219.0
FL_2015_000171_PRY,0.20252827605363408,74.0
FL_2002_000296_PRY,0.18801555535418288,140.0
ST_2015_000041_PRY,0.05713795060795802,1395.0
FL_2023_000041_PRY,0.15989723470626202,359.0
FL_2009_000226_PRY,0.17167117864793136,246.0
Paraguay: Floods _ Feb 1990,0.16831161305367517,274.0
FL_2021_000213_STP,0.15431097957157938,412.0
FL_2019_000034_BOL,0.08713055497136893,1190.0
FL_2018_000015_BOL,0.07904609127343581,1256.0
FL_2007_000012_BOL,0.1660073933063353,299.0
FL_2001_000029_BOL,0.10890254467362763,972.0
FL_2006_000010_BOL,0.16148473588736328,339.0
FL_2007_000231_BOL,0.09959222126543091,1079.0
FL_2015_000008_BOL,0.0482070700868424,1435.0
FL_2024_000021_BOL,0.17597868629539912,214.0
FL_2000_000130_BOL,0.1687731463129654,270.0
FL_2019_000032_BOL,0.12702271774764295,734.0
FL_2003_000621_BOL,0.018548365112094782,1498.0
FL_2013_000020_BOL,0.17398773300208498,227.0
FL_2011_000020_BOL,0.16712833851265346,288.0
FL_2010_000008_BOL,0.17023191739825544,257.0
FL_2002_000110_BOL,0.1429839534522171,543.0
Bolivia: Chapare River Floods _ Jan 1987,0.16299121236612102,329.0
FL_1997_000022_BOL,0.056926226457424414,1397.0
Bolivia: Floods _ Jan 1986,0.1319522906234859,677.0
Bolivia: Landslides/Floods _ Mar 1994,0.07861600490282677,1262.0
FL_2009_000045_BOL,0.11058148679557374,951.0
FL_2014_000008_BOL,0.07824661498660453,1265.0
FL_2003_000012_BOL,0.13485198226438314,636.0
FL_2012_000005_BOL,0.12292999729556028,793.0
FL_2025_000038_BOL,0.08019273324785098,1244.0
FL_2019_000079_BGD,0.07515411768116967,1285.0
FL_2023_000157_BGD,0.07784805211425447,1267.0
Bangladesh: Floods _ Jul 1996,0.04861899954029886,1432.0
FL_2020_000161_BGD,0.12629316967583062,746.0
FL_2007_000129_PAK,0.10904739734487462,969.0
Bangladesh: Floods _ Jul 1993,0.04854012620771669,1433.0
FL_1998_000203_BGD,0.1547742085421961,409.0
FL_2014_000117_BGD,0.18409645966159321,165.0
Bangladesh: Floods _ Jul 1999,0.11720392536928809,867.0
FL_2005_000176_BGD,0.10112797433469718,1063.0
FL_2011_000093_BGD,0.06400123889487219,1361.0
FL_2008_000096_BGD,0.10578063891042308,1007.0
FL_2021_000097_BGD,0.1597063007236591,361.0
FL_2006_000131_BGD,0.13846237686892537,595.0
FL_2000_000617_BGD,0.09876512931928869,1085.0
FL_2015_000068_BGD,0.14221386464423877,554.0
Bangladesh: Floods _ Aug 1988,0.026434967270294117,1488.0
FF_2007_000080_BGD,0.172683486402571,238.0
Bangladesh: Floods _ Aug 1986,0.057319758679972,1394.0
Bangladesh: Floods _ Jun 1993,0.1190958223709216,840.0
FL_2004_000044_BGD,0.08742396450827791,1187.0
FL_1997_000164_BGD,0.10510195721577947,1017.0
FL_2016_000075_BGD,0.15020704659837636,454.0
Bangladesh: Floods _ Jul 1988,0.18197679644762008,172.0
FL_2010_000114_BGD,0.13332292498312523,660.0
Bangladesh: Floods _ Sep 1986,0.19579300538482736,97.0
Bangladesh: Floods _ Aug 1989,0.1321029718705703,673.0
FL_2009_000123_BGD,0.04921723070372791,1427.0
FL_2018_000105_BGD,0.06873163685146041,1336.0
FL_2002_000402_BGD,0.14538128061004094,513.0
FL_2002_000536_MMR,0.14789359434402752,482.0
Bangladesh: Floods _ Jul 1991,0.1649078539878493,309.0
Bangladesh: Floods _ May 1984,0.11877610567956809,845.0
FL_2012_000106_BGD,0.10155577148039854,1058.0
FL_2024_000088_BGD,0.10565668101407033,1009.0
FL_2022_000217_BGD,0.053800608835796654,1412.0
FL_2006_000092_KOR,0.09268289644742127,1149.0
FL_2001_000335_KOR,0.20313955729797384,72.0
FL_1999_000247_KOR,0.1941295797314404,106.0
FL_1998_000219_KOR,0.18622678524631806,152.0
FL_2009_000190_TUR,0.13895333114052577,588.0
FL_2006_000156_TUR,0.16253741040644018,335.0
Turkey: Floods _ Nov 1995,0.0725129645316736,1304.0
FL_1998_000255_TUR,0.06660629427980162,1344.0
FL_2023_000040_TUR,0.10538552812558628,1012.0
FF_2009_000159_PAK,0.08323099162192979,1223.0
FL_2020_000185_PAK,0.14230192579750986,552.0
FF_2008_000123_PAK,0.15919921965841088,364.0
FL_2010_000141_PAK,0.11929058747365642,837.0
FF_2012_000148_PAK,0.12422761697636185,777.0
FF_2013_000090_PAK,0.1427916576782944,546.0
FL_2015_000017_PAK,0.12137038164727273,814.0
Pakistan: Floods _ Aug 1996,0.15869990354011868,369.0
FL_1998_000048_PAK,0.135461273775748,628.0
FL_2019_000087_PAK,0.13734090055977635,608.0
FL_2017_000017_PAK,0.1170632611722075,869.0
Pakistan: Floods _ Jul 1993,0.09998177018616672,1075.0
FL_2014_000122_PAK,0.11572670066194939,889.0
FL_1992_000008_PAK,0.12026503490209756,823.0
FF_2007_000082_PAK,0.14763831408311626,486.0
Pakistan: Floods _ Feb 1991,0.17939821469556158,186.0
FL_2003_000359_PAK,0.13812587145217065,598.0
FL_2016_000066_PAK,0.13933188205502178,586.0
FL_2022_000254_PAK,0.14873198147544697,475.0
FL_2024_000118_PAK,0.07103525631919992,1317.0
FL_2016_000021_PAK,0.10328163577773042,1042.0
FL_2005_000108_PAK,0.1540157874029004,415.0
FL_2024_000020_PAK,0.15632384775680985,394.0
FL_2023_000119_PAK,0.2391187420153347,15.0
FL_2001_000376_PAK,0.14718010421138952,493.0
FL_2011_000109_PAK,0.10742717872398,988.0
FL_2009_000139_PAK,0.19007227943860638,129.0
FL_2005_000038_MDG,0.1306128499940658,694.0
ST_2022_000138_MDG,0.16139680038747484,340.0
2012_000020_MDG,0.20986043347207203,56.0
FL_2020_000019_MDG,0.06585464782938608,1348.0
FL_2003_000037_MDG,0.10892292593721761,971.0
FL_2013_000004_KEN,0.08792312859093711,1185.0
FL_2009_000218_KEN,0.07896909729216758,1259.0
FL_2024_000045_KEN,0.006651948122034556,1510.0
FL_2011_000115_KEN,0.0033978679945967163,1512.0
FL_2002_000265_KEN,0.09944855532500808,1081.0
FL_2010_000003_KEN,0.15043015520644037,450.0
FL_2004_000020_KEN,0.19151516017825818,121.0
FF_2012_000062_KEN,0.14691828592280298,496.0
FL_2008_000217_KEN,0.10744872693674552,987.0
FL_2015_000169_KEN,0.10433160436991358,1027.0
FL_2021_000038_KEN,0.04820381088153047,1436.0
FL_2023_000216_KEN,0.15568395188549233,403.0
FL_2013_000038_KEN,0.02506753661367551,1491.0
FL_1997_000255_KEN,0.1861608800774164,153.0
FL_2020_000128_KEN,0.17023418438685084,256.0
FF_2023_000051_KEN,0.12392723139065867,781.0
FL_2019_000138_KEN,0.10907705821373204,968.0
FL_2007_000139_KEN,0.1519187789043359,436.0
FF_2008_000092_KEN,0.05580239296190447,1402.0
FL_2007_000076_KEN,0.13579258584002427,622.0
FF_2018_000030_KEN,0.13776829099490603,604.0
FL_2010_000174_KEN,0.14196932960407238,556.0
FF_2006_000046_KEN,0.11305510673034075,926.0
FL_2016_000042_KEN,0.11963166949137727,833.0
FL_2007_000221_KEN,0.17927364646972338,187.0
FL_2025_000045_COD,0.052575985770703694,1416.0
FL_2024_000009_COD,0.1726379709776769,240.0
FL_1999_000531_COD,0.08682664959578804,1192.0
FL_2012_000192_COD,0.11984891207871487,828.0
ST_2012_000064_COD,0.1126329828923462,930.0
FL_2010_000062_COD,0.08592087831564696,1198.0
FL_2020_000052_COD,0.1681504680293634,277.0
FL_2010_000151_COD,0.10679539092197435,995.0
FL_2006_000047_COD,0.060387018337592295,1379.0
FL_2016_000124_COD,0.16362031208115235,322.0
FL_2015_000164_COD,0.15492974406499493,408.0
FL_1997_000295_COD,0.18799752506036865,141.0
FL_2011_000187_COD,0.1635572157317286,323.0
FL_2022_000376_COD,0.14606054706069574,499.0
FL_2018_000004_COD,0.118951253547944,843.0
FL_2007_000197_COD,0.1254057446675642,758.0
FL_2020_000206_COD,0.10365772456201196,1039.0
FL_2019_000153_COD,0.17550567477261364,217.0
FF_2008_000186_COD,0.17519102122337726,218.0
FL_2023_000067_COD,0.13045674477919345,698.0
FL_2019_000020_COL,0.08455295656520515,1213.0
FL_2015_000056_COL,0.06754474703350444,1343.0
FL_2003_000578_COL,0.06203606538797556,1370.0
FL_2023_000232_COL,0.0720401175716202,1309.0
FL_2008_000197_COL,0.11964976401506594,831.0
1987_07_01_CO_Flood,0.09022956506362931,1170.0
FL_2013_000145_COL,0.10924730659644953,967.0
FL_2010_000076_COL,0.08523080894561198,1204.0
FL_2005_000020_COL,0.09722978469480664,1102.0
FL_2007_000068_COL,0.12466583358299195,767.0
FL_2020_000242_COL,0.1449482146334653,519.0
FL_2009_000241_COL,0.10727802126052574,991.0
FL_2008_000076_COL,0.11755755218524322,860.0
1986_07_01T00:00:00+00:00,0.06989894225458164,1328.0
FL_2012_000183_COL,0.210746912347054,51.0
Colombia: Floods and Landslides _ Mar_Jul 2014,0.12442506748506243,775.0
LS_2010_000190_COL,0.08218360175261416,1233.0
FL_2018_000058_COL,0.046853827686494535,1440.0
FL_2006_000044_COL,0.10800699637498955,979.0
FL_2013_000030_COL,0.0814216940768758,1237.0
FL_2014_000004_COL,0.04420189139146693,1449.0
FL_2012_000042_COL,-0.02357259304331752,1520.0
FL_2014_000163_COL,0.15950157841372048,362.0
1996_07_01_CO_Flood,0.04570476711933277,1443.0
FL_2000_000265_COL,0.1266106800662498,741.0
FL_2011_000170_COL,0.0790829890860359,1255.0
OT_2004_000112_COL,0.15093441695696216,446.0
FL_2024_000117_COL,0.14951812711011464,462.0
FL_2011_000042_COL,0.16056664044216967,349.0
FL_2005_000017_VEN,-0.0010521495342397796,1515.0
FL_2024_000214_COL,0.07117460726289414,1315.0
1988_08_01T00:00:00+00:00,0.02663073194251953,1487.0
FL_2004_000021_COL,0.1659635129688526,301.0
FL_2005_000194_COL,0.11012109340363366,957.0
FL_2016_000060_IND,0.16017916596847348,354.0
FL_2001_000332_IND,0.06650878661809559,1345.0
FL_2017_000064_IND,0.1552519717410884,405.0
FL_2024_000109_IND,0.09235350909134826,1151.0
FL_2009_000217_IND,0.10152782914084033,1059.0
IND_2018_000413,0.15832859262909604,374.0
FL_2023_000104_IND,0.16912376203341065,267.0
FL_2000_000444_IND,0.17792526194972358,197.0
FL_1999_000213_IND,0.16034572863716046,350.0
FL_2010_000249_IND,0.07923959841497717,1254.0
FL_2006_000070_IND,0.16284462003608094,332.0
FL_2014_000089_IND,0.12538855926888695,759.0
FL_2003_000316_IND,0.08831481645887881,1182.0
India: Floods _ Jun 1994,0.19930710490221232,83.0
FL_1998_000392_IND,0.12841364743023712,720.0
FL_1997_000337_IND,0.1966038903039386,94.0
India_Manipur: Floods _ Apr 2004,0.18109087687529093,177.0
FL_2015_000064_IND,0.16070002664689953,348.0
FL_1999_000371_IND,0.24010861850993323,13.0
India: Floods _ Aug 2003,0.12100929140309571,819.0
FL_2005_000104_IND,0.15354070801536152,417.0
India: Floods _ Nov 1992,0.1733003801905086,232.0
FL_2020_000164_IND,0.20874957505188008,61.0
FL_2002_000374_IND,0.21465684531782372,45.0
FL_2022_000213_IND,0.19568096979578573,99.0
FL_2012_000110_IND,0.1320957178958148,674.0
India: Floods _ Jun 1996,0.12139799564253564,812.0
FL_2008_000089_IND,0.1707261891230769,251.0
FF_2007_000083_IND,0.125312273736916,761.0
India: Floods _ Aug 1988,0.1947552107210652,102.0
FL_2010_000125_IND,0.07051165395269678,1320.0
FL_2011_000084_IND,0.17692872861025152,206.0
FL_2009_000122_IND,0.10705160352591138,992.0
FL_2021_000161_IND,0.15574261680567986,401.0
FL_2005_000182_IND,0.1564381656071712,390.0
India: Floods _ Oct 1996,0.1727428904906279,235.0
India: Floods _ Jul 1993,0.08180580730349794,1236.0
FL_2013_000070_IND,0.16910643983191548,268.0
FL_2018_000134_IND,0.0714422977721484,1314.0
FL_2019_000084_IND,0.11149830037119678,939.0
India: Floods _ Oct 1988,0.15207753867709323,434.0
India: Floods _ Aug 1989,0.1534474126877946,419.0
FF_2020_000055_SOM,0.11282551199120244,928.0
FL_2023_000190_SOM,0.08545940475907329,1203.0
FF_2018_000041_SOM,0.15544289538061679,404.0
FL_2015_000145_SOM,0.11299521009531709,927.0
FF_2020_000221_SOM,0.12170025693399077,808.0
FF_2025_000055_SOM,0.13811330625576101,600.0
FL_2008_000091_SOM,0.02731502413994725,1485.0
FL_1997_000265_SOM,0.13396433267183644,648.0
FL_2016_000046_SOM,0.14080965253407007,568.0
FL_2013_000141_SOM,0.06800160293160984,1342.0
FF_2009_000229_SOM,0.03766183922585076,1464.0
FL_2015_000040_SOM,0.08466320019585999,1212.0
FL_2021_000051_SOM,0.14561821265676117,506.0
FL_2008_000185_SOM,0.10964473418538076,960.0
FL_2012_000173_SOM,0.12456927481352202,771.0
FL_2014_000150_SOM,0.1266211020160472,740.0
FL_2024_000055_SOM,0.04162321590539738,1456.0
FL_2010_000041_SOM,0.056548837188032545,1398.0
FL_2011_000161_SOM,0.08216519178970587,1234.0
FF_2023_000044_SOM,0.0970490321292429,1104.0
FL_2019_000133_SOM,0.085632623007261,1200.0
FL_2013_000052_SOM,0.08234082835546411,1231.0
FL_2008_000191_CRI,0.13144596672407394,684.0
FL_2005_000166_CRI,0.07952089455322987,1250.0
FL_2002_000755_CRI,0.08252228098375032,1229.0
FL_2005_000001_CRI,0.08058335677113795,1242.0
FL_2007_000176_CRI,0.18092279471382233,179.0
FL_2015_000079_CRI,0.12731882284996615,730.0
FL_1999_000350_CRI,0.1084070006130914,976.0
FL_2004_000023_CRI,0.20941760696454237,57.0
FL_2008_000232_CRI,0.11895768326776314,842.0
1,0.07903914258721974,1257.0
FL_2021_000092_CRI,0.10594226501975672,1004.0
FL_2024_000215_CRI,0.1550207498443332,406.0
FL_2002_000263_CRI,0.08277903137622038,1228.0
1993_12_01T00:00:00+00:00,0.10519993178628079,1015.0
FL_2010_000251_CRI,0.12916044903922788,712.0
FL_2004_000120_CRI,0.04024505471107592,1459.0
FL_2012_000126_PAN,0.07112270848531442,1316.0
FL_2018_000165_CRI,0.10112055032520303,1064.0
FL_2022_000348_CRI,0.07948070028238619,1252.0
Costa Rica: Floods _ Feb 1988,0.10109876920961389,1065.0
